,primary_sector,count,sum,category_list,main_sector,value
307,Internet,202,2397156781.0,Internet,"News, Search and Messaging",1
308,Internet Infrastructure,5,64480000.0,Internet Infrastructure,"News, Search and Messaging",1
309,Internet Marketing,36,230189925.0,Internet Marketing,"Social, Finance, Analytics, Advertising",1
310,Internet Radio Market,6,24200000.0,Internet Radio Market,"News, Search and Messaging",1
311,Internet Service Providers,9,55750000.0,Internet Service Providers,"News, Search and Messaging",1
312,Internet of Things,26,177912649.0,Internet of Things,"Social, Finance, Analytics, Advertising",1
313,Lasers,15,338328752.0,Lasers,Health,1
314,Law Enforcement,1,3214186.0,Law Enforcement,Others,1
315,Lead Generation,7,110375000.0,Lead Generation,Others,1
316,Legal,43,427450935.0,Legal,Others,1
317,Leisure,5,29459999.0,Leisure,Entertainment,1
318,Life Sciences,7,15210333.0,Life Sciences,Others,1
319,Lifestyle,11,133670195.0,Lifestyle,Entertainment,1
320,Lifestyle Businesses,2,10453678.0,Lifestyle Businesses,Entertainment,1
321,Lighting,4,31000000.0,Lighting,Cleantech / Semiconductors,1
322,Limousines,1,20000000.0,Limousines,Automotive & Sports,1
323,Linux,8,78630455.0,Linux,Others,1
324,Local,8,30250000.0,Local,Others,1
325,Local Advertising,1,180000.0,Local Advertising,"Social, Finance, Analytics, Advertising",1
326,Local Based Services,3,28500000.0,Local Based Services,Others,1
327,Local Businesses,22,114069410.0,Local Businesses,Others,1
328,Local Search,10,94799999.0,Local Search,"News, Search and Messaging",1
329,Location Based Services,28,274303482.0,Location Based Services,Others,1
330,Logistics,18,270754620.0,Logistics,Others,1
331,Logistics Company,1,7000000.0,Logistics Company,Others,1
332,Loyalty Programs,15,88839900.0,Loyalty Programs,Others,1
333,M2M,2,12608000.0,M2M,Others,1
334,Machine Learning,13,72947023.0,Machine Learning,"Social, Finance, Analytics, Advertising",1
335,Manufacturing,498,4701017567.0,Manufacturing,Manufacturing,1
336,Maps,5,22156799.0,Maps,"News, Search and Messaging",1
337,Market Research,11,109135236.0,Market Research,"Social, Finance, Analytics, Advertising",1
338,Marketing Automation,10,82370000.0,Marketing Automation,"Social, Finance, Analytics, Advertising",1
339,Marketplaces,33,376224137.0,Marketplaces,Others,1
340,Mass Customization,1,1600000.0,Mass Customization,Others,1
341,Match-Making,2,5050000.0,Match-Making,Others,1
342,Material Science,1,8376852.0,Material Science,Cleantech / Semiconductors,1
